Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,category
768.591,362.493,815.603,291.79,627.338,221.268,606.704,539.009,615.555,789.143,1001.12,359.546,977.455,647.997,792.1,806.719,786.185,733.231,677.359,700.873,0,0,0,0,880.407,803.884,0,0,0,0,742,318.47,812.628,338.867,0,0,906.821,277.121,0,0,0,0,0,0,0,0,0,0,0,0,writing
706.739,247.767,730.274,309.503,580.196,294.795,574.219,562.578,586.071,748.016,880.38,318.366,906.755,609.665,768.55,742.024,736.126,765.637,633.187,756.767,0,0,0,0,836.176,774.436,0,0,0,0,668.616,200.638,742.226,203.572,624.44,177.123,809.72,177.072,0,0,0,0,0,0,0,0,0,0,0,0,writing
768.581,362.392,815.649,280.033,624.364,206.53,600.897,527.218,615.561,792.109,1001.11,344.863,974.572,647.987,792.161,803.846,768.58,727.358,671.461,694.99,0,0,0,0,865.693,789.143,0,0,0,0,742.091,318.461,812.782,338.893,0,0,906.879,277.091,0,0,0,0,0,0,0,0,0,0,0,0,writing
1113.04,241.892,924.598,350.733,733.342,341.93,533.204,698.092,783.441,824.621,1112.97,350.748,1183.64,580.379,1330.97,642.14,907.011,974.733,801.07,983.549,0,0,0,0,1045.36,948.226,0,0,0,0,1068.78,180.028,1142.65,197.725,933.611,144.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.39,368.448,883.55,409.566,703.917,383.147,645.007,765.714,1045.27,821.709,1092.47,438.996,1133.65,648.048,1239.7,677.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.85,312.528,1139.51,321.289,930.45,241.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
718.551,335.858,656.717,388.831,533.127,418.426,544.938,715.574,712.552,824.472,783.283,344.894,812.696,568.408,806.724,715.477,689.105,786.141,603.772,800.902,0,0,0,0,765.725,765.65,0,0,0,0,688.992,294.843,742.168,288.913,603.815,271.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
700.881,244.863,721.431,300.684,574.438,291.816,562.582,565.468,591.959,742.119,877.358,315.365,903.845,603.839,765.64,739.028,724.397,765.58,624.358,753.862,0,0,0,0,830.29,774.439,0,0,0,0,668.385,200.472,742.091,200.758,624.262,177.105,806.726,176.997,0,0,0,0,0,0,0,0,0,0,0,0,writing
703.829,250.637,724.47,309.492,577.281,294.743,571.335,568.402,591.921,745.04,880.355,318.319,903.966,609.665,768.55,739.228,736.128,765.63,630.303,753.848,0,0,0,0,833.364,774.461,0,0,0,0,668.427,200.648,742.221,206.439,624.354,174.201,806.836,177.177,0,0,0,0,0,0,0,0,0,0,0,0,writing
765.628,362.424,812.798,285.932,624.299,215.35,603.807,527.2,618.51,800.887,1001.13,359.55,974.612,647.985,795.02,803.897,759.758,700.856,671.409,668.494,0,0,0,0,856.827,721.482,0,0,0,0,739.205,318.38,812.603,338.976,0,0,909.817,274.173,0,0,0,0,0,0,0,0,0,0,0,0,writing
1095.54,365.359,886.457,406.587,706.903,377.211,644.99,759.852,1042.4,818.75,1092.49,436.076,1130.68,647.992,1239.59,677.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.97,309.498,1139.56,318.38,930.492,238.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
724.378,333.016,662.596,385.98,536.069,415.434,550.712,715.656,715.592,818.566,786.188,344.857,812.826,568.389,809.648,715.504,692.078,786.223,603.816,806.799,0,0,0,0,774.431,768.545,0,0,0,0,691.931,294.7,750.869,285.872,612.623,271.22,786.063,265.304,0,0,0,0,0,0,0,0,0,0,0,0,writing
1522.16,494.959,1504.51,524.389,0,0,0,0,0,0,0,0,0,0,0,0,1495.57,606.779,1492.81,606.849,1486.84,668.619,1475.04,718.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475.14,721.633,1472.16,727.493,0,0,writing
765.569,362.445,677.365,456.48,621.375,480.249,668.471,739.069,847.982,762.566,741.957,427.133,762.708,589.048,809.594,671.555,668.439,812.724,627.355,847.993,789.13,936.298,0,0,706.785,789.125,850.938,921.557,0,0,742.123,338.761,768.518,338.728,668.492,330.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
718.484,335.883,653.82,388.862,530.274,418.421,544.93,718.522,712.663,827.355,783.267,347.755,812.596,568.428,806.715,712.65,686.15,789.107,600.801,809.707,0,0,0,0,765.555,768.58,0,0,0,0,686.18,294.86,742.102,291.687,600.811,268.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writing
