data_index, predict_class, correct_class 
569, 1, 0
2545, 0, 2
156, 1, 0
1379, 0, 1
776, 0, 1
1257, 2, 1
1457, 2, 1
117, 1, 0
2609, 1, 2
743, 0, 1
712, 0, 1
1192, 0, 1
1519, 0, 1
92, 1, 0
1193, 0, 1
296, 1, 0
438, 1, 0
1116, 2, 1
2179, 1, 2
1109, 2, 1
2551, 1, 2
192, 1, 0
276, 2, 0
1332, 2, 1
1211, 2, 1
1422, 0, 1
224, 1, 0
2098, 1, 2
2395, 1, 2
1577, 0, 2
926, 2, 1
710, 0, 1
306, 2, 0
1390, 0, 1
610, 1, 0
1950, 1, 2
2211, 0, 2
745, 0, 1
1881, 1, 2
562, 1, 0
1010, 0, 1
634, 1, 0
1449, 2, 1
1147, 0, 1
1459, 0, 1
182, 1, 0
259, 2, 0
480, 1, 0
2515, 1, 2
465, 1, 0
1000, 0, 1
27, 1, 0
1772, 1, 2
2345, 1, 2
1079, 0, 1
643, 1, 0
333, 1, 0
1328, 2, 1
2119, 1, 2
2628, 1, 2
666, 2, 1
702, 2, 1
1692, 1, 2
536, 1, 0
567, 2, 0
1303, 0, 1
1180, 0, 1
2233, 1, 2
326, 1, 0
2236, 1, 2
2432, 0, 2
2013, 0, 2
295, 1, 0
897, 0, 1
330, 1, 0
1012, 2, 1
69, 1, 0
1451, 2, 1
2566, 0, 2
204, 1, 0
361, 2, 0
4, 2, 0
482, 1, 0
621, 1, 0
1872, 0, 2
251, 1, 0
232, 2, 0
748, 0, 1
98, 1, 0
2004, 0, 2
578, 2, 0
927, 0, 1
1611, 0, 2
2248, 1, 2
980, 2, 1
248, 1, 0
2289, 1, 2
886, 0, 1
124, 2, 0
10, 1, 0
385, 1, 0
1882, 1, 2
653, 0, 1
1043, 0, 1
1127, 0, 1
731, 2, 1
899, 0, 1
379, 1, 0
2351, 1, 2
39, 1, 0
1242, 2, 1
720, 2, 1
125, 2, 0
17, 1, 0
1, 2, 0
453, 1, 0
2582, 1, 2
194, 2, 0
264, 1, 0
609, 1, 0
538, 1, 0
587, 1, 0
286, 2, 0
40, 2, 0
206, 1, 0
1491, 0, 1
133, 1, 0
