data_index, predict_class, correct_class ,movie_num,,,,,,
4,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0227C.mp4,,,,,,
10,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0233C.mp4,,,,,,
23,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0247C.mp4,,,,,,
40,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0264C.mp4,,,,,,
41,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0265C.mp4,,,,,,
52,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0276C.mp4,,,,,,
57,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0281C.mp4,,,,,,
69,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0294C.mp4,,,,,,
70,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0295C.mp4,,,,,,
98,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0325C.mp4,,,,,,
104,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0331C.mp4,,,,,,
107,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0334C.mp4,,,,,,
113,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0340C.mp4,,,,,,
117,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0344C.mp4,,,,,,
121,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0348C.mp4,,,,,,
125,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0352C.mp4,,,,,,
133,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0360C.mp4,,,,,,
137,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0364C.mp4,,,,,,
162,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0389C.mp4,,,,,,
182,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0409C.mp4,,,,,,
194,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0421C.mp4,,,,,,
204,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0431C.mp4,,,,,,
206,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0433C.mp4,,,,,,
223,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0450C.mp4,,,,,,
232,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0460C.mp4,,,,,,
248,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0476C.mp4,,,,,,
271,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0499C.mp4,,,,,,
276,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0504C.mp4,,,,,,
286,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0515C.mp4,,,,,,
295,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0524C.mp4,,,,,,
296,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0525C.mp4,,,,,,
311,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0540C.mp4,,,,,,
317,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0546C.mp4,,,,,,
326,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0555C.mp4,,,,,,
330,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0559C.mp4,,,,,,
357,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0586C.mp4,,,,,,
361,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0590C.mp4,,,,,,
379,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0608C.mp4,,,,,,
452,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0681C.mp4,,,,,,
453,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0682C.mp4,,,,,,
465,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0694C.mp4,,,,,,
482,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0711C.mp4,,,,,,
486,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0715C.mp4,,,,,,
489,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0718C.mp4,,,,,,
522,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0751C.mp4,,,,,,
547,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0776C.mp4,,,,,,
567,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0796C.mp4,,,,,,
578,2,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0808C.mp4,,,,,,
587,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0817C.mp4,,,,,,
609,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0839C.mp4,,,,,,
610,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0840C.mp4,,,,,,
619,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0849C.mp4,,,,,,
621,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0851C.mp4,,,,,,
638,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0868C.mp4,,,,,,
643,1,0,/mnt/nas/STAIR_Actions_v1.0/writing/a064-0873C.mp4,,,,,,
652,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0053C.mp4,,,,,,
666,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0067C.mp4,,,,,,
670,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0071C.mp4,,,,,,
702,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0103C.mp4,,,,,,
710,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0111C.mp4,,,,,,
711,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0112C.mp4,,,,,,
712,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0113C.mp4,,,,,,
731,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0132C.mp4,,,,,,
743,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0144C.mp4,,,,,,
745,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0146C.mp4,,,,,,
746,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0147C.mp4,,,,,,
748,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0149C.mp4,,,,,,
762,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0163C.mp4,,,,,,
776,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0177C.mp4,,,,,,
795,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0196C.mp4,,,,,,
806,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0207C.mp4,,,,,,
831,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0232C.mp4,,,,,,
886,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0287C.mp4,,,,,,
